Company Name,Ticker
Reliance Industries Ltd,RELIANCE
Tata Consultancy Services Ltd,TCS
HDFC Bank Ltd,HDFCBANK
Infosys Ltd,INFY
ICICI Bank Ltd,ICICIBANK
Hindustan Unilever Ltd,HINDUNILVR
State Bank of India,SBIN
Housing Development Finance Corporation Ltd,HDFC
Bharti Airtel Ltd,BHARTIARTL
Adani Enterprises Ltd,ADANIENT
Life Insurance Corporation Of India,LICI
ITC Ltd,ITC
Adani Total Gas Ltd,ATGL
Bajaj Finance Ltd,BAJFINANCE
Kotak Mahindra Bank Ltd,KOTAKBANK
Adani Green Energy Ltd,ADANIGREEN
Asian Paints Ltd,ASIANPAINT
Larsen Toubro Ltd,LT
Adani Transmission Ltd,ADANITRANS
Axis Bank Ltd,AXISBANK
HCL Technologies Ltd,HCLTECH
Avenue Supermarts Ltd,DMART
Maruti Suzuki India Ltd,MARUTI
Bajaj Finserv Ltd,BAJAJFINSV
Sun Pharmaceutical Industries Ltd,SUNPHARMA
Titan Company Ltd,TITAN
Wipro Ltd,WIPRO
UltraTech Cement Ltd,ULTRACEMCO
JSW Steel Ltd,JSWSTEEL
Oil  Natural Gas Corporation Ltd,ONGC
Adani Ports and Special Economic Zone Ltd,ADANIPORTS
NTPC Ltd,NTPC
Mahindra  Mahindra Ltd,MM
Power Grid Corporation of India Ltd,POWERGRID
Coal India Ltd,COALINDIA
Tata Steel Ltd,TATASTEEL
Hindustan Zinc Ltd,HINDZINC
Pidilite Industries Ltd,PIDILITIND
LTIMindtree Ltd,LTIM
Tata Motors Ltd,TATAMOTORS
SBI Life Insurance Company Ltd,SBILIFE
HDFC Life Insurance Company Ltd,HDFCLIFE
Adani Power Ltd,ADANIPOWER
Vedanta Ltd,VEDL
Grasim Industries Ltd,GRASIM
Indian Oil Corporation Ltd,IOC
Hindalco Industries Ltd,HINDALCO
Ambuja Cements Ltd,AMBUJACEM
Britannia Industries Ltd,BRITANNIA
Bajaj Auto Ltd,BAJAJ-AUTO
Siemens Ltd,SIEMENS
Dabur India Ltd,DABUR
Tech Mahindra Ltd,TECHM
Bank of Baroda,BANKBARODA
IndusInd Bank Ltd,INDUSINDBK
DLF Ltd,DLF
Divi's Laboratories Ltd,DIVISLAB
Godrej Consumer Products Ltd,GODREJCP
Eicher Motors Ltd,EICHERMOT
Cipla Ltd,CIPLA
Varun Beverages Ltd,VBL
Hindustan Aeronautics Ltd,HAL
SHREE CEMENT Ltd,SHREECEM
Adani Wilmar Ltd,AWL
InterGlobe Aviation Ltd,INDIGO
SBI Cards and Payment Services Ltd,SBICARD
Bharat Electronics Ltd,BEL
Bharat Petroleum Corporation Ltd,BPCL
TATA CONSUMER PRODUCTS Ltd,TATACONSUM
Dr. Reddy's Laboratories Ltd,DRREDDY
Havells India Ltd,HAVELLS
SRF Ltd,SRF
Tata Power Company Ltd,TATAPOWER
Marico Ltd,MARICO
ICICI Prudential Life Insurance Company Ltd,ICICIPRULI
Apollo Hospitals Enterprise Ltd,APOLLOHOSP
Bajaj Holdings  Investment Ltd,BAJAJHLDNG
United Spirits Ltd,MCDOWELL-N
Punjab National Bank,PNB
ICICI Lombard General Insurance Company Ltd,ICICIGI
Indian Overseas Bank,IOB
Canara Bank,CANBK
Cholamandalam Investment and Finance Company Ltd,CHOLAFIN
Yes Bank Ltd,YESBANK
Jindal Steel  Power Ltd,JINDALSTEL
IDBI Bank Ltd,IDBI
ABB India Ltd,ABB
Union Bank of India,UNIONBANK
Hero MotoCorp Ltd,HEROMOTOCO
UPL Ltd,UPL
Tube Investments of India Ltd,TIINDIA
Macrotech Developers Ltd,LODHA
Torrent Pharmaceuticals Ltd,TORNTPHARM
PI Industries Ltd,PIIND
TVS Motor Company Ltd,TVSMOTOR
Indus Towers Ltd,INDUSTOWER
Indian Railway Catering And Tourism Corporation Ltd,IRCTC
Bosch Ltd,BOSCHLTD
Zomato Ltd,ZOMATO
